epoch,step,test_loss,test_mae,train_loss,train_mae_epoch,train_mae_step,valid_loss,valid_mae
39,239,,,,,194.48902893066406,,
39,239,,,,,,104734.7578125,225.07716369628906
39,239,,,85228.28125,197.83270263671875,,,
40,244,,,,,198.30099487304688,,
40,245,,,,,,112843.3984375,237.9363250732422
40,245,,,109178.59375,218.4832763671875,,,
41,249,,,,,264.2574768066406,,
41,251,,,,,,144134.390625,252.3708038330078
41,251,,,124506.34375,234.9676971435547,,,
42,254,,,,,212.1417999267578,,
42,257,,,,,,114741.3828125,227.4595184326172
42,257,,,130192.96875,242.46514892578125,,,
43,259,,,,,239.05087280273438,,
43,263,,,,,,94849.9375,208.267333984375
43,263,,,115870.078125,236.72122192382812,,,
44,264,,,,,223.7811279296875,,
44,269,,,,,203.6960906982422,,
44,269,,,,,,107293.75,231.66806030273438
44,269,,,135401.765625,244.5420379638672,,,
45,274,,,,,199.11329650878906,,
45,275,,,,,,208396.046875,301.2860107421875
45,275,,,119354.6484375,242.3585968017578,,,
46,279,,,,,217.11619567871094,,
46,281,,,,,,139216.390625,241.58001708984375
46,281,,,115332.1953125,237.99334716796875,,,
47,284,,,,,233.4204559326172,,
47,287,,,,,,100227.71875,220.56982421875
47,287,,,98311.484375,202.0810089111328,,,
48,289,,,,,252.54605102539062,,
48,293,,,,,,112870.3203125,228.7082977294922
48,293,,,120991.6328125,234.801025390625,,,
49,294,,,,,186.4856414794922,,
49,299,,,,,177.30149841308594,,
49,299,,,,,,103304.8671875,224.26962280273438
49,299,,,91711.7109375,207.6922149658203,,,
50,300,103304.8671875,224.26962280273438,,,,,
